tanh不行
{"Bleu_1": 0.7812953574959343, "Bleu_2": 0.6215335758052454, "Bleu_3": 0.46805124298712164, "Bleu_4": 0.34346008090892743, "METEOR": 0.27313910419451987, "ROUGE_L": 0.5649004292772325, "CIDEr": 1.141943831011686, "SPICE": 0.210930659774253}epoch:4
{"Bleu_1": 0.7749932295898012, "Bleu_2": 0.6159950184679379, "Bleu_3": 0.4631170445055104, "Bleu_4": 0.3415185733666084, "METEOR": 0.2760550153841428, "ROUGE_L": 0.5657466096777405, "CIDEr": 1.1432187240347735, "SPICE": 0.21333280885363246}epoch:5
{"Bleu_1": 0.7891224954706781, "Bleu_2": 0.630333805854724, "Bleu_3": 0.4769682798125868, "Bleu_4": 0.35307407746018976, "METEOR": 0.2764924600208034, "ROUGE_L": 0.571288731719948, "CIDEr": 1.1624427894487206, "SPICE": 0.2117027576836261}epoch:6
{"Bleu_1": 0.7787074137895078, "Bleu_2": 0.6199287785623087, "Bleu_3": 0.4688433990907754, "Bleu_4": 0.34781598178792333, "METEOR": 0.27861551600190543, "ROUGE_L": 0.5679979330330288, "CIDEr": 1.1603917647420297, "SPICE": 0.21368529378600792}epoch:7
{"Bleu_1": 0.7854287637801737, "Bleu_2": 0.6266398075013067, "Bleu_3": 0.4756566697194833, "Bleu_4": 0.3544603083844548, "METEOR": 0.2795582995707007, "ROUGE_L": 0.5726022997957857, "CIDEr": 1.1787700230739284, "SPICE": 0.2147934014827096}epoch:8
{"Bleu_1": 0.7866765098973696, "Bleu_2": 0.6286907312053719, "Bleu_3": 0.47608368149602365, "Bleu_4": 0.35298945439388363, "METEOR": 0.27637600050974137, "ROUGE_L": 0.5698911226847747, "CIDEr": 1.1771699498987378, "SPICE": 0.21232492850633053}epoch:9
{"Bleu_1": 0.7881128836410671, "Bleu_2": 0.6297761524474569, "Bleu_3": 0.47809964195697885, "Bleu_4": 0.35555939573844464, "METEOR": 0.2802876176632245, "ROUGE_L": 0.5724316763041789, "CIDEr": 1.1858224590582345, "SPICE": 0.21757280011225558}epoch:10
{"Bleu_1": 0.7837111184645769, "Bleu_2": 0.6255503365980349, "Bleu_3": 0.47485300330610264, "Bleu_4": 0.3534619425772056, "METEOR": 0.28133536214463006, "ROUGE_L": 0.5714971241758791, "CIDEr": 1.179227310327221, "SPICE": 0.21695718404154868}epoch:11
{"Bleu_1": 0.7803928000327858, "Bleu_2": 0.6206920000802275, "Bleu_3": 0.469696220960963, "Bleu_4": 0.34930667878706245, "METEOR": 0.28095923292733666, "ROUGE_L": 0.5692776626965756, "CIDEr": 1.175570069645438, "SPICE": 0.21682449488484962}epoch:12
{"Bleu_1": 0.7843720315532817, "Bleu_2": 0.6272994191846029, "Bleu_3": 0.4762010976986034, "Bleu_4": 0.3545447898184075, "METEOR": 0.2833021016055665, "ROUGE_L": 0.5736534719212842, "CIDEr": 1.192810242273059, "SPICE": 0.21797335165407658}epoch:13
